freq,Z_real,Z_imag
0.01,591152.181493568,-175295.5423004678
0.01226330684177562,565651.5321401003,-182450.34883968314
0.0150388694695541,538874.1321180005,-188583.94280475765
0.01844262708585533,511015.553436412,-193514.99035466943
0.022616759492228647,482314.6920463759,-197089.36435416972
0.02773562614198412,453046.37112653954,-199190.63423652935
0.03401304938279253,423510.6975935656,-199748.4904275076
0.04171124612056516,394019.9923526998,-198744.0337853624
0.05115178099293145,364884.5083959604,-196211.22290117023
0.06272899858196243,336398.3559269055,-192234.28124328976
0.07692649574879146,308827.01828786155,-186941.41753630675
0.09433732216299774,282397.57567090483,-180495.68908886606
0.11568875283162833,257292.32230603142,-173084.1444098891
0.1418726674116596,233645.9686350568,-164906.47289111672
0.17398280529303659,211546.16658182742,-156164.27672761565
0.21336045265014109,191036.7605552668,-147051.81949145172
0.26165046987488183,172122.9848784635,-137748.77395984612
0.320869999737045,154777.79484988388,-128415.16276651212
0.39349272630958454,138948.6000782904,-119188.41280775127
0.48255220427412787,124563.81938346871,-110182.25514790759
0.5917685748188819,111538.85258311022,-101487.09960489701
0.7257039612324216,99781.23247595003,-93171.48419620923
0.8899530352885224,89194.86011918413,-85284.22348107882
1.0913767146512738,79683.32988824301,-77856.93507211751
1.3383887531737564,71152.41825473418,-70906.69216229217
1.64130719537513,63511.84717608175,-64438.61889765745
2.0127853758499383,56676.44689606326,-58448.30698422901
2.4683404670686513,50566.841212168176,-52923.982337978305
3.0270016537634614,45109.7671534771,-47848.38904506525
3.7121050090663648,40238.125293322715,-43200.385307440294
4.55226827550731,35890.83987021175,-38956.26416853905
5.5825862688627,32012.59154141848,-35090.82265614662
6.846096838574658,28553.47104492304,-31578.2084517504
8.395578619995103,25468.58975252606,-28392.57492783899
10.295755673125127,22717.67311070364,-25508.57468384169
12.626001098748565,20264.655108235074,-22901.719533658288
15.48365256585499,18077.285895103563,-20548.63195166595
18.988078244652634,16126.760188221506,-18427.209745800254
23.285662984981965,14387.370831051405,-16516.72250258927
28.555923019901062,12836.18955551639,-14797.855323567424
35.01900461431709,11452.775397849942,-13252.712643082396
42.944879887892725,10218.910160472262,-11864.792524456992
52.66462393484275,9118.359644084028,-10618.939778531667
64.58424430196978,8136.65898598874,-9501.284517759887
79.20164050192548,7260.920247787374,-8499.171320546755
97.12740198471168,6479.660335531146,-7601.0829996758885
119.11031332830068,5782.64736267089,-6796.56200989263
146.06863203649888,5160.763648142368,-6076.131759087279
179.1284454622004,4605.883655789187,-5431.219474121223
219.67070907932353,4110.765311288715,-4854.081788809568
269.3889309590173,3668.9532682227664,-4337.733844260416
330.35991201283395,3274.692829038037,-3875.8824005645497
405.1304969235382,2922.8533550925176,-3462.8632368629533
496.8239594734388,2608.860120314687,-3093.5829501033377
609.2704661368681,2328.633673972682,-2763.465139833498
747.1670675868082,2078.5358792382494,-2468.400877796353
916.2739011886731,1855.3218857362258,-2204.7032993023895
1123.6548001387516,1656.0973765184872,-1969.066112260616
1377.9723598335568,1478.28050349663,-1758.5257944737368
1689.8497868124568,1319.5679910051895,-1570.4272364754013
2072.3146452190294,1177.9049455696443,-1402.3925827508372
2541.3430367026367,1051.457961831884,-1252.2930262381274
3116.52694492943,938.5911606183032,-1118.223317688704
3821.892620633119,837.8448359519001,-998.4787613268375
4686.904192314192,747.9164239873431,-891.5344801822665
5747.694424835352,667.6435389092198,-796.0267476368052
7048.574036451903,595.9888492481206,-710.7361954951688
8643.88262059827,532.0265932557935,-634.5727227972757
10600.258488068825,474.9305543117775,-566.5619432975776
12999.42224413245,423.9633371399015,-505.83302280972435
15941.590374559995,378.46680318566206,-451.607770291746
19549.661430912594,337.853539102704,-403.19085852595134
23974.349678010785,301.5992461459664,-359.96106147091797
29400.480643347077,269.23595057123777,-321.36340580497415
36054.71154250506,240.34594607296714,-286.9021438401682
44214.99907374487,214.5563890104218,-256.13446387882306
54222.21006501592,191.5344758144942,-228.66486223914933
66494.35996665046,170.9831396554103,-204.14010862791983
81544.0739518517,152.63721029273,-182.24474332747673
100000.0,136.2599871185057,-162.69705083477538
